Well Number,Error
26283,CONFIDENTIAL
26284,CONFIDENTIAL
26285,CONFIDENTIAL
26286,CONFIDENTIAL
26352,CONFIDENTIAL
26353,CONFIDENTIAL
26354,CONFIDENTIAL
26355,CONFIDENTIAL
33056,INSUFFICIENT DATA
33057,INSUFFICIENT DATA
30694,INSUFFICIENT DATA
34209,CONFIDENTIAL
34215,INSUFFICIENT DATA
34216,INSUFFICIENT DATA
34125,INSUFFICIENT DATA
34123,INSUFFICIENT DATA
34122,INSUFFICIENT DATA
33036,INSUFFICIENT DATA
30583,CONFIDENTIAL
31300,CONFIDENTIAL
31301,CONFIDENTIAL
31302,CONFIDENTIAL
31303,CONFIDENTIAL
31296,CONFIDENTIAL
31297,CONFIDENTIAL
31298,CONFIDENTIAL
31299,CONFIDENTIAL
31819,CONFIDENTIAL
31820,INSUFFICIENT DATA
32060,CONFIDENTIAL
32061,CONFIDENTIAL
32062,CONFIDENTIAL
32063,CONFIDENTIAL
29523,INSUFFICIENT DATA
32492,INSUFFICIENT DATA
32493,INSUFFICIENT DATA
32494,INSUFFICIENT DATA
32495,CONFIDENTIAL
32496,INSUFFICIENT DATA
32497,CONFIDENTIAL
30583,CONFIDENTIAL
30581,CONFIDENTIAL
30584,CONFIDENTIAL
30582,CONFIDENTIAL
30585,INSUFFICIENT DATA
32398,CONFIDENTIAL
32399,CONFIDENTIAL
32400,INSUFFICIENT DATA
32408,CONFIDENTIAL
31109,CONFIDENTIAL
31110,CONFIDENTIAL
31111,CONFIDENTIAL
22827,CONFIDENTIAL
22829,CONFIDENTIAL
22653,CONFIDENTIAL
22655,CONFIDENTIAL
22652,CONFIDENTIAL
22654,CONFIDENTIAL
26731,INSUFFICIENT DATA
27165,CONFIDENTIAL
27167,CONFIDENTIAL
27166,CONFIDENTIAL
27168,CONFIDENTIAL
27169,CONFIDENTIAL
27171,CONFIDENTIAL
27170,CONFIDENTIAL
27172,CONFIDENTIAL
27173,CONFIDENTIAL
27175,CONFIDENTIAL
27174,CONFIDENTIAL
27176,CONFIDENTIAL
29970,INSUFFICIENT DATA
29971,INSUFFICIENT DATA
20658,CONFIDENTIAL
